sec,BIS,HR,ART
0,0.0,,
1,0.0,,
2,0.0,81.0,-21.6466
3,0.0,,-20.6592
4,0.0,81.0,-21.6466
5,0.0,,-20.6592
6,0.0,81.0,-20.6592
7,0.0,,-20.6592
8,0.0,82.0,-21.6466
9,0.0,,-21.6466
10,0.0,82.0,-21.6466
11,0.0,,-21.6466
12,0.0,71.0,-21.6466
13,0.0,,-21.6466
14,0.0,69.0,-21.6466
15,0.0,,-20.6592
16,0.0,68.0,-21.6466
17,0.0,,-20.6592
18,0.0,68.0,-22.6341
19,0.0,,-20.6592
20,0.0,82.0,-20.6592
21,0.0,,-20.6592
22,0.0,82.0,-20.6592
23,0.0,,-21.6466
24,0.0,82.0,-21.6466
25,0.0,,-21.6466
26,0.0,83.0,-21.6466
27,0.0,,-21.6466
28,0.0,83.0,-21.6466
29,0.0,,-21.6466
30,0.0,76.0,-21.6466
31,0.0,,-21.6466
32,0.0,70.0,-21.6466
33,0.0,,-21.6466
34,0.0,71.0,-21.6466
35,0.0,,-21.6466
36,0.0,73.0,-21.6466
37,0.0,,-21.6466
38,0.0,73.0,-22.6341
39,0.0,,-22.6341
40,0.0,81.0,-21.6466
41,0.0,,-21.6466
42,0.0,81.0,-20.6592
43,0.0,,-21.6466
44,0.0,94.0,-21.6466
45,0.0,,-21.6466
46,0.0,87.0,-20.6592
47,0.0,,-20.6592
48,0.0,88.0,-21.6466
49,0.0,,-21.6466
50,0.0,85.0,-21.6466
51,0.0,,-21.6466
52,0.0,80.0,-21.6466
53,0.0,,-21.6466
54,0.0,72.0,-22.6341
55,0.0,,-21.6466
56,0.0,68.0,-22.6341
57,0.0,,-21.6466
58,0.0,68.0,-22.6341
59,0.0,,-22.6341
60,0.0,70.0,-22.6341
61,0.0,,-22.6341
62,0.0,71.0,-21.6466
63,0.0,,-22.6341
64,0.0,70.0,-22.6341
65,0.0,,-22.6341
66,0.0,68.0,-22.6341
67,0.0,,-22.6341
68,0.0,67.0,-22.6341
69,0.0,,-22.6341
70,0.0,65.0,-22.6341
71,0.0,,-22.6341
72,0.0,67.0,-22.6341
73,0.0,,-21.6466
74,0.0,65.0,-23.6215
75,0.0,,-22.6341
76,0.0,64.0,-22.6341
77,0.0,,-23.6215
78,0.0,65.0,-23.6215
79,0.0,,-23.6215
80,0.0,63.0,-22.6341
81,0.0,,-22.6341
82,0.0,63.0,-22.6341
83,0.0,,-23.6215
84,0.0,62.0,-21.6466
85,0.0,,-23.6215
86,0.0,62.0,-22.6341
87,0.0,,-22.6341
88,0.0,64.0,-22.6341
89,0.0,,-22.6341
90,0.0,67.0,-22.6341
91,0.0,,-22.6341
92,0.0,69.0,-21.6466
93,0.0,,-22.6341
94,0.0,69.0,-22.6341
95,0.0,,-21.6466
96,0.0,67.0,-23.6215
97,0.0,,-22.6341
98,0.0,66.0,-23.6215
99,91.3,,-22.6341
100,91.4,63.0,-23.6215
101,91.4,,-22.6341
102,91.4,62.0,-23.6215
103,92.0,,-22.6341
104,90.7,64.0,-22.6341
105,90.0,,-23.6215
106,89.6,64.0,-21.6466
107,89.9,,-21.6466
108,90.7,64.0,-23.6215
109,89.6,,-22.6341
110,88.9,63.0,-23.6215
111,89.7,,-23.6215
112,88.9,62.0,-22.6341
113,88.9,,-23.6215
114,88.9,60.0,-23.6215
115,88.5,,-24.609
116,81.7,61.0,-23.6215
117,81.4,,-23.6215
118,81.6,61.0,-22.6341
119,84.0,,-23.6215
120,84.3,60.0,-23.6215
121,85.7,,-23.6215
122,85.4,60.0,-22.6341
123,84.5,,-23.6215
124,84.8,62.0,-23.6215
125,84.1,,-23.6215
126,83.3,61.0,-23.6215
127,81.9,,-23.6215
128,81.4,61.0,-23.6215
129,80.3,,-23.6215
130,79.4,63.0,-23.6215
131,79.2,,-23.6215
132,78.7,62.0,-23.6215
133,79.4,,-24.609
134,80.4,63.0,-25.5965
135,79.7,,-24.609
136,79.3,63.0,-24.609
137,78.6,,-23.6215
138,78.6,61.0,-23.6215
139,78.4,,-23.6215
140,79.4,61.0,-23.6215
141,80.1,,-24.609
142,81.3,62.0,-24.609
143,81.8,,-24.609
144,80.1,61.0,-24.609
145,81.1,,-23.6215
146,81.7,61.0,-23.6215
147,81.7,,-23.6215
148,81.7,61.0,-24.609
149,81.7,,-23.6215
150,93.1,60.0,-23.6215
151,92.9,,-23.6215
152,93.2,62.0,-22.6341
153,92.9,,-23.6215
154,93.4,62.0,-23.6215
155,93.2,,-23.6215
156,93.0,63.0,-23.6215
157,93.8,,-22.6341
158,93.9,63.0,-23.6215
159,93.4,,-23.6215
160,93.3,61.0,-24.609
161,93.0,,-23.6215
162,92.6,62.0,-23.6215
163,92.5,,-23.6215
164,91.9,63.0,-23.6215
165,91.1,,-23.6215
166,91.2,63.0,-23.6215
167,90.7,,-24.609
168,90.0,65.0,-24.609
169,87.9,,-24.609
170,87.5,64.0,-23.6215
171,87.0,,-23.6215
172,87.0,64.0,-25.5965
173,87.0,,-25.5965
174,87.0,64.0,-24.609
175,87.7,,-24.609
176,87.7,66.0,-23.6215
177,87.7,,-24.609
178,86.5,70.0,-24.609
179,85.3,,-23.6215
180,85.7,72.0,-24.609
181,85.2,,-24.609
182,85.2,71.0,-24.609
183,85.2,,-24.609
184,85.6,70.0,-25.5965
185,86.0,,-24.609
186,86.7,70.0,-24.609
187,84.7,,-24.609
188,85.6,70.0,-24.609
189,87.0,,-24.609
190,90.9,69.0,-23.6215
191,92.8,,-24.609
192,93.4,66.0,-25.5965
193,93.8,,-24.609
194,94.1,64.0,-24.609
195,94.2,,-23.6215
196,93.9,63.0,-24.609
197,94.3,,-24.609
198,94.0,62.0,-24.609
199,93.7,,-24.609
200,93.6,62.0,-24.609
201,93.0,,-24.609
202,92.9,61.0,-24.609
203,92.9,,-24.609
204,92.9,62.0,-24.609
205,93.2,,-24.609
206,93.8,65.0,-23.6215
207,93.9,,-23.6215
208,94.0,67.0,-24.609
209,93.5,,-23.6215
210,93.5,69.0,-23.6215
211,93.5,,-24.609
212,93.5,70.0,-24.609
213,93.0,,-24.609
214,93.0,69.0,-23.6215
215,93.0,,-23.6215
216,93.1,69.0,-23.6215
217,92.9,,-24.609
218,93.3,67.0,-24.609
219,93.6,,-24.609
220,93.3,64.0,-23.6215
221,92.9,,-24.609
222,92.7,62.0,-24.609
223,92.0,,-24.609
224,93.5,62.0,-24.609
225,93.9,,-25.5965
226,94.0,62.0,-24.609
227,92.2,,-24.609
228,91.4,62.0,-25.5965
229,90.7,,-24.609
230,92.6,61.0,-25.5965
231,92.9,,-25.5965
232,92.7,60.0,-24.609
233,94.0,,-24.609
234,94.2,60.0,-24.609
235,94.4,,-24.609
236,94.4,60.0,-24.609
237,95.0,,-25.5965
238,95.4,61.0,-24.609
239,95.5,,-24.609
240,95.5,61.0,-24.609
