sec,BIS,HR,ART
0,51.4,,
1,50.4,,-9.79714
2,50.4,52.0,-8.80968
3,49.9,,-9.79714
4,49.6,53.0,-9.79714
5,49.6,,-9.79714
6,49.6,54.0,-9.79714
7,49.6,,-9.79714
8,49.6,55.0,-9.79714
9,48.3,,-10.7846
10,46.4,55.0,-8.80968
11,46.3,,-8.80968
12,46.3,56.0,-9.79714
13,46.1,,-9.79714
14,46.0,56.0,-9.79714
15,46.0,,-9.79714
16,47.0,57.0,-9.79714
17,49.3,,-9.79714
18,48.6,59.0,-9.79714
19,48.1,,-9.79714
20,50.2,62.0,-8.80968
21,50.5,,-9.79714
22,53.0,64.0,-9.79714
23,54.5,,-9.79714
24,58.2,67.0,-9.79714
25,61.5,,-8.80968
26,68.6,70.0,-7.82223
27,74.4,,-7.82223
28,79.4,72.0,-7.82223
29,77.2,,-6.83477
30,76.3,74.0,-7.82223
31,73.1,,-7.82223
32,71.7,75.0,-7.82223
33,70.4,,-8.80968
34,69.0,76.0,-9.79714
35,64.5,,-9.79714
36,56.8,76.0,-8.80968
37,54.3,,-8.80968
38,51.3,75.0,-8.80968
39,47.7,,-8.80968
40,48.8,74.0,-9.79714
41,47.4,,-8.80968
42,47.0,73.0,-8.80968
43,46.9,,-8.80968
44,48.3,72.0,-9.79714
45,48.8,,-9.79714
46,48.4,73.0,-9.79714
47,48.7,,-9.79714
48,51.0,73.0,-8.80968
49,53.2,,-8.80968
50,54.1,74.0,-9.79714
51,55.1,,-9.79714
52,54.1,73.0,-9.79714
53,53.1,,-9.79714
54,56.1,72.0,-9.79714
55,52.3,,-9.79714
56,51.1,71.0,-9.79714
57,51.5,,-9.79714
58,47.7,70.0,-9.79714
59,44.1,,-9.79714
60,42.2,69.0,-8.80968
61,44.3,,-9.79714
62,45.1,69.0,-9.79714
63,44.8,,-7.82223
64,44.2,69.0,-9.79714
65,43.9,,-9.79714
66,43.2,68.0,-9.79714
67,45.0,,-8.80968
68,47.5,68.0,-10.7846
69,44.8,,-10.7846
70,48.0,67.0,-9.79714
71,50.5,,-11.7721
72,48.9,66.0,-33.4961
73,51.4,,8.96454
74,53.1,65.0,-22.6341
75,54.4,,-13.747
76,54.3,65.0,-40.4083
77,55.6,,-72.0069
78,55.4,65.0,-29.5463
79,54.4,,-25.5965
80,53.3,65.0,-26.5839
81,52.0,,-37.4459
82,50.4,64.0,-12.7595
83,49.8,,-15.7219
84,51.0,63.0,-24.609
85,48.7,,-19.6717
86,49.0,63.0,-21.6466
87,48.5,,-20.6592
88,48.4,62.0,-19.6717
89,47.2,,-19.6717
90,46.7,62.0,-19.6717
91,45.8,,-21.6466
92,45.6,62.0,-20.6592
93,46.3,,-20.6592
94,47.0,61.0,-20.6592
95,46.4,,-22.6341
96,47.5,61.0,-20.6592
97,47.4,,-21.6466
98,46.0,60.0,-19.6717
99,45.4,,-19.6717
100,45.2,60.0,-20.6592
101,44.9,,-20.6592
102,45.5,60.0,-19.6717
103,44.4,,-20.6592
104,43.4,60.0,-20.6592
105,42.9,,-19.6717
106,43.7,60.0,-19.6717
107,43.4,,-4.85986
108,43.9,59.0,7.97709
109,43.6,,-27.5714
110,44.2,59.0,14.8893
111,44.0,,3.0398
112,44.8,58.0,-12.7595
113,46.4,,-5.84731
114,48.1,58.0,-1.89748
115,48.7,,-5.84731
116,48.2,57.0,72.1618
117,48.0,,85.9862
118,47.3,57.0,87.9611
119,46.9,,56.3625
120,46.7,57.0,45.5005
121,46.8,,47.4754
122,46.7,57.0,48.4628
123,44.9,,51.4252
124,45.1,57.0,49.4503
125,44.6,,48.4628
126,44.6,57.0,50.4377
127,45.5,,52.4127
128,45.6,57.0,56.3625
129,45.5,,58.3374
130,45.0,57.0,58.3374
131,42.4,,70.1869
132,39.8,57.0,63.2747
133,41.3,,65.2496
134,41.1,57.0,63.2747
135,40.9,,68.212
136,41.9,57.0,68.212
137,43.2,,75.1242
138,44.6,57.0,78.0865
139,44.8,,87.9611
140,43.4,57.0,84.0113
141,41.9,,45.5005
142,41.6,57.0,45.5005
143,41.4,,49.4503
144,41.9,57.0,49.4503
145,42.0,,55.375
146,42.8,57.0,50.4377
147,43.7,,52.4127
148,44.6,56.0,54.3876
149,44.8,,60.3123
150,45.6,56.0,61.2998
151,45.1,,61.2998
152,43.6,56.0,63.2747
153,42.2,,76.1116
154,42.4,56.0,76.1116
155,44.4,,86.9736
156,45.5,55.0,43.5255
157,44.4,,50.4377
158,43.8,55.0,49.4503
159,43.3,,49.4503
160,44.0,55.0,51.4252
161,43.4,,51.4252
162,44.6,55.0,56.3625
163,44.6,,62.2872
164,43.8,55.0,60.3123
165,42.5,,70.1869
166,43.6,55.0,72.1618
167,43.4,,84.9987
168,43.4,55.0,59.3249
169,42.7,,46.4879
170,41.7,55.0,48.4628
171,41.2,,48.4628
172,40.8,55.0,50.4377
173,39.4,,54.3876
