sec,BIS,HR,ART
0,,,
1,,,
2,,,
3,0.0,,
4,0.0,,-6.83477
5,0.0,,-6.83477
6,0.0,87.0,-6.83477
7,0.0,,-6.83477
8,0.0,86.0,-6.83477
9,0.0,,-6.83477
10,0.0,86.0,-6.83477
11,0.0,,-6.83477
12,0.0,87.0,-6.83477
13,0.0,,-6.83477
14,0.0,87.0,-6.83477
15,0.0,,-6.83477
16,0.0,88.0,-6.83477
17,0.0,,-6.83477
18,0.0,88.0,-6.83477
19,0.0,,-7.82223
20,0.0,89.0,-6.83477
21,0.0,,-6.83477
22,0.0,90.0,-7.82223
23,0.0,,-6.83477
24,0.0,90.0,-6.83477
25,0.0,,-6.83477
26,0.0,90.0,-6.83477
27,0.0,,-6.83477
28,0.0,90.0,-6.83477
29,0.0,,-6.83477
30,0.0,90.0,-6.83477
31,0.0,,-6.83477
32,0.0,91.0,-6.83477
33,0.0,,-6.83477
34,0.0,93.0,-7.82223
35,0.0,,-6.83477
36,0.0,93.0,-6.83477
37,0.0,,-6.83477
38,0.0,91.0,-6.83477
39,0.0,,-6.83477
40,0.0,89.0,-6.83477
41,0.0,,-6.83477
42,0.0,88.0,-7.82223
43,0.0,,-6.83477
44,0.0,88.0,-6.83477
45,0.0,,-6.83477
46,0.0,89.0,-7.82223
47,0.0,,-7.82223
48,0.0,89.0,-7.82223
49,0.0,,-7.82223
50,0.0,90.0,-7.82223
51,0.0,,-7.82223
52,0.0,90.0,-6.83477
53,0.0,,-7.82223
54,0.0,91.0,-7.82223
55,0.0,,-7.82223
56,0.0,90.0,-7.82223
57,0.0,,-7.82223
58,0.0,90.0,-6.83477
59,0.0,,-7.82223
60,0.0,86.0,-7.82223
61,0.0,,-7.82223
62,0.0,85.0,-7.82223
63,0.0,,-7.82223
64,0.0,86.0,-7.82223
65,0.0,,-6.83477
66,0.0,88.0,-7.82223
67,0.0,,-7.82223
68,0.0,88.0,-7.82223
69,0.0,,-7.82223
70,0.0,87.0,-7.82223
71,0.0,,-7.82223
72,0.0,86.0,-7.82223
73,0.0,,-7.82223
74,0.0,85.0,-7.82223
75,0.0,,-8.80968
76,0.0,85.0,-7.82223
77,0.0,,-7.82223
78,0.0,86.0,-7.82223
79,0.0,,-7.82223
80,0.0,87.0,-7.82223
81,0.0,,-7.82223
82,0.0,88.0,-7.82223
83,0.0,,-7.82223
84,0.0,88.0,-7.82223
85,0.0,,-7.82223
86,0.0,88.0,-7.82223
87,0.0,,-7.82223
88,0.0,88.0,-7.82223
89,0.0,,-7.82223
90,0.0,87.0,-7.82223
91,0.0,,-7.82223
92,0.0,87.0,-7.82223
93,0.0,,-8.80968
94,0.0,87.0,-7.82223
95,0.0,,-8.80968
96,0.0,88.0,-7.82223
97,0.0,,-8.80968
98,0.0,88.0,-7.82223
99,0.0,,-7.82223
100,0.0,88.0,-7.82223
