sec,BIS,HR,ART
0,0.0,,
1,0.0,72.0,1.06489
2,0.0,,2.05234
3,0.0,74.0,1.06489
4,0.0,,2.05234
5,0.0,75.0,2.05234
6,0.0,,2.05234
7,0.0,73.0,2.05234
8,0.0,,2.05234
9,0.0,72.0,2.05234
10,0.0,,2.05234
11,0.0,72.0,2.05234
12,0.0,,2.05234
13,0.0,72.0,2.05234
14,0.0,,2.05234
15,0.0,72.0,1.06489
16,0.0,,2.05234
17,0.0,72.0,2.05234
18,0.0,,2.05234
19,0.0,72.0,2.05234
20,0.0,,2.05234
21,0.0,71.0,2.05234
22,0.0,,1.06489
23,0.0,71.0,2.05234
24,0.0,,2.05234
25,0.0,70.0,2.05234
26,0.0,,2.05234
27,0.0,71.0,2.05234
28,0.0,,2.05234
29,0.0,70.0,2.05234
30,0.0,,2.05234
31,0.0,71.0,2.05234
32,0.0,,2.05234
33,0.0,72.0,2.05234
34,0.0,,2.05234
35,0.0,73.0,2.05234
36,0.0,,2.05234
37,0.0,73.0,2.05234
38,0.0,,2.05234
39,0.0,73.0,2.05234
40,0.0,,2.05234
41,0.0,73.0,2.05234
42,0.0,,2.05234
43,0.0,78.0,2.05234
44,0.0,,2.05234
45,0.0,77.0,2.05234
46,0.0,,2.05234
47,0.0,77.0,1.06489
48,0.0,,2.05234
49,0.0,70.0,2.05234
50,0.0,,2.05234
51,0.0,69.0,2.05234
52,0.0,,2.05234
53,0.0,71.0,2.05234
54,0.0,,2.05234
55,0.0,71.0,2.05234
56,0.0,,2.05234
57,0.0,71.0,2.05234
58,0.0,,2.05234
59,0.0,72.0,2.05234
60,0.0,,2.05234
61,0.0,73.0,2.05234
62,0.0,,2.05234
63,0.0,75.0,3.0398
64,0.0,,3.0398
65,0.0,75.0,2.05234
66,0.0,,3.0398
67,0.0,75.0,3.0398
68,0.0,,3.0398
69,0.0,74.0,3.0398
70,0.0,,2.05234
71,0.0,72.0,3.0398
72,0.0,,3.0398
73,0.0,70.0,3.0398
74,0.0,,2.05234
75,0.0,70.0,3.0398
76,0.0,,3.0398
77,0.0,69.0,2.05234
78,0.0,,2.05234
79,0.0,70.0,2.05234
80,0.0,,2.05234
81,0.0,68.0,3.0398
82,0.0,,3.0398
83,0.0,68.0,2.05234
84,0.0,,2.05234
85,0.0,67.0,2.05234
86,0.0,,2.05234
87,0.0,68.0,2.05234
88,0.0,,2.05234
89,0.0,68.0,2.05234
90,0.0,,3.0398
91,0.0,68.0,2.05234
92,0.0,,2.05234
93,0.0,68.0,3.0398
94,0.0,,3.0398
95,0.0,67.0,3.0398
96,0.0,,3.0398
97,0.0,68.0,3.0398
98,0.0,,2.05234
99,0.0,68.0,3.0398
100,0.0,,2.05234
101,0.0,68.0,2.05234
102,0.0,,2.05234
103,0.0,68.0,2.05234
104,0.0,,2.05234
105,0.0,68.0,2.05234
106,0.0,,2.05234
107,0.0,69.0,2.05234
108,0.0,,3.0398
109,0.0,70.0,2.05234
110,0.0,,2.05234
111,0.0,71.0,2.05234
112,0.0,,2.05234
113,0.0,71.0,3.0398
114,0.0,,3.0398
115,0.0,71.0,2.05234
116,0.0,,2.05234
117,0.0,73.0,2.05234
118,0.0,,2.05234
119,0.0,74.0,2.05234
120,0.0,,2.05234
121,0.0,75.0,2.05234
122,0.0,,2.05234
123,0.0,74.0,3.0398
124,0.0,,2.05234
125,0.0,73.0,3.0398
126,0.0,,2.05234
127,0.0,72.0,3.0398
128,0.0,,2.05234
129,0.0,71.0,2.05234
130,0.0,,2.05234
131,0.0,70.0,2.05234
132,0.0,,2.05234
133,0.0,70.0,2.05234
134,0.0,,2.05234
135,0.0,70.0,2.05234
136,0.0,,2.05234
137,0.0,70.0,2.05234
138,0.0,,2.05234
139,0.0,69.0,2.05234
140,0.0,,2.05234
141,0.0,70.0,2.05234
142,0.0,,2.05234
143,0.0,71.0,2.05234
144,0.0,,2.05234
145,0.0,71.0,2.05234
146,0.0,,2.05234
147,0.0,74.0,2.05234
148,0.0,,2.05234
149,0.0,75.0,2.05234
150,0.0,,2.05234
151,0.0,76.0,2.05234
152,0.0,,2.05234
153,0.0,79.0,3.0398
154,0.0,,2.05234
155,0.0,81.0,2.05234
156,0.0,,2.05234
157,0.0,81.0,2.05234
158,0.0,,2.05234
159,0.0,82.0,2.05234
160,0.0,,2.05234
161,0.0,81.0,2.05234
162,0.0,,2.05234
163,0.0,81.0,2.05234
164,0.0,,1.06489
165,0.0,79.0,2.05234
166,0.0,,1.06489
167,0.0,77.0,2.05234
168,0.0,,2.05234
169,0.0,75.0,2.05234
170,0.0,,1.06489
171,0.0,73.0,2.05234
172,0.0,,2.05234
173,0.0,71.0,2.05234
174,0.0,,2.05234
175,0.0,71.0,2.05234
176,0.0,,2.05234
177,0.0,71.0,2.05234
178,0.0,,2.05234
179,0.0,72.0,2.05234
180,0.0,,2.05234
181,0.0,72.0,2.05234
182,0.0,,2.05234
183,0.0,71.0,2.05234
184,0.0,,2.05234
185,0.0,72.0,1.06489
186,0.0,,2.05234
187,0.0,73.0,2.05234
188,0.0,,2.05234
189,0.0,73.0,2.05234
190,0.0,,1.06489
191,0.0,73.0,2.05234
192,0.0,,2.05234
193,0.0,72.0,2.05234
194,0.0,,2.05234
195,0.0,71.0,2.05234
196,0.0,,2.05234
197,0.0,70.0,2.05234
198,0.0,,2.05234
199,0.0,69.0,2.05234
200,0.0,,2.05234
201,0.0,69.0,2.05234
202,0.0,,2.05234
203,0.0,68.0,2.05234
204,0.0,,2.05234
205,0.0,69.0,2.05234
206,0.0,,2.05234
207,0.0,68.0,2.05234
208,0.0,,2.05234
209,0.0,67.0,2.05234
