sec,BIS,HR,ART
0,,,
1,0.0,,
2,0.0,,
3,0.0,,31.6761
4,0.0,,28.7137
5,0.0,102.0,29.7011
6,0.0,,23.7764
7,0.0,98.0,23.7764
8,0.0,,19.8266
9,0.0,96.0,27.7262
10,0.0,,19.8266
11,0.0,96.0,19.8266
12,0.0,,26.7388
13,0.0,97.0,17.8517
14,0.0,,19.8266
15,0.0,103.0,26.7388
16,0.0,,21.8015
17,0.0,103.0,18.8391
18,0.0,,20.814
19,0.0,103.0,23.7764
20,0.0,,11.9269
21,0.0,103.0,12.9144
22,0.0,,10.9395
23,0.0,102.0,10.9395
24,0.0,,16.8642
25,0.0,104.0,22.7889
26,0.0,,4.02726
27,0.0,104.0,13.9018
28,0.0,,16.8642
29,0.0,103.0,2.05234
30,0.0,,16.8642
31,0.0,103.0,11.9269
32,0.0,,14.8893
33,0.0,102.0,10.9395
34,0.0,,2.05234
35,0.0,103.0,-3.8724
36,0.0,,8.96454
37,0.0,103.0,-5.84731
38,0.0,,-3.8724
39,0.0,103.0,6.98963
40,0.0,,6.98963
41,0.0,100.0,-7.82223
42,0.0,,6.98963
43,0.0,99.0,10.9395
44,0.0,,-7.82223
45,0.0,99.0,9.952
46,0.0,,6.98963
47,0.0,98.0,5.01471
48,0.0,,-2.88494
49,0.0,99.0,17.8517
50,0.0,,4.02726
51,0.0,100.0,9.952
52,0.0,,9.952
53,0.0,101.0,8.96454
54,0.0,,18.8391
55,0.0,100.0,6.98963
56,0.0,,5.01471
57,0.0,98.0,15.8767
58,0.0,,5.01471
59,0.0,94.0,0.0774297
60,0.0,,12.9144
61,0.0,96.0,-0.910027
62,0.0,,-0.910027
63,0.0,101.0,11.9269
64,0.0,,-1.89748
65,0.0,102.0,1.06489
66,0.0,,4.02726
67,0.0,98.0,-4.85986
68,0.0,,-5.84731
69,0.0,97.0,-8.80968
70,0.0,,-9.79714
71,0.0,95.0,-14.7344
72,0.0,,2.05234
73,0.0,94.0,-13.747
74,0.0,,-9.79714
75,0.0,93.0,-5.84731
76,0.0,,-17.6968
77,0.0,94.0,-14.7344
78,0.0,,-6.83477
79,0.0,95.0,-16.7093
80,0.0,,-8.80968
81,0.0,97.0,-18.6843
82,0.0,,-19.6717
83,0.0,97.0,-18.6843
84,0.0,,-17.6968
85,0.0,98.0,-23.6215
86,0.0,,-22.6341
87,0.0,99.0,-10.7846
88,0.0,,-24.609
89,0.0,100.0,-19.6717
90,0.0,,-24.609
91,0.0,101.0,-23.6215
92,0.0,,-26.5839
93,0.0,102.0,-19.6717
94,0.0,,-23.6215
95,0.0,102.0,-23.6215
96,0.0,,-21.6466
97,0.0,101.0,-26.5839
98,0.0,,-7.82223
99,0.0,98.0,0.0774297
100,0.0,,-13.747
101,0.0,98.0,-12.7595
102,0.0,,-6.83477
103,0.0,100.0,-15.7219
104,0.0,,-9.79714
105,0.0,102.0,-6.83477
106,0.0,,-17.6968
107,0.0,102.0,-5.84731
108,0.0,,-12.7595
109,0.0,104.0,-18.6843
110,0.0,,-10.7846
111,0.0,106.0,-11.7721
112,0.0,,-19.6717
113,0.0,105.0,-20.6592
114,0.0,,-15.7219
115,0.0,103.0,-20.6592
116,0.0,,-17.6968
117,0.0,100.0,-17.6968
118,0.0,,-19.6717
119,0.0,99.0,-22.6341
120,0.0,,-19.6717
121,0.0,101.0,-23.6215
122,0.0,,-19.6717
123,0.0,106.0,-19.6717
124,0.0,,-22.6341
125,0.0,105.0,-20.6592
126,0.0,,-19.6717
127,0.0,102.0,-23.6215
128,0.0,,-21.6466
129,0.0,99.0,-21.6466
130,0.0,,-19.6717
131,0.0,98.0,-21.6466
132,0.0,,-21.6466
133,0.0,98.0,-18.6843
134,0.0,,-22.6341
135,0.0,97.0,-17.6968
136,0.0,,-20.6592
137,0.0,96.0,-21.6466
138,0.0,,-22.6341
139,0.0,96.0,-14.7344
140,0.0,,-21.6466
141,0.0,95.0,-22.6341
142,0.0,,-14.7344
143,0.0,96.0,-21.6466
144,0.0,,-18.6843
145,0.0,99.0,-18.6843
146,0.0,,-19.6717
147,0.0,102.0,-25.5965
148,0.0,,-20.6592
149,0.0,103.0,-16.7093
150,0.0,,-25.5965
151,0.0,102.0,-26.5839
152,0.0,,-24.609
153,0.0,103.0,-26.5839
154,0.0,,-24.609
155,0.0,102.0,-24.609
156,0.0,,-23.6215
157,0.0,100.0,-25.5965
158,0.0,,-24.609
159,0.0,101.0,-23.6215
160,0.0,,-24.609
161,0.0,102.0,-24.609
162,0.0,,-24.609
163,0.0,101.0,-23.6215
164,0.0,,-20.6592
165,0.0,98.0,-23.6215
166,0.0,,-22.6341
167,0.0,97.0,-23.6215
168,0.0,,-16.7093
169,0.0,97.0,-20.6592
170,0.0,,-22.6341
171,0.0,99.0,-20.6592
172,0.0,,-17.6968
173,0.0,100.0,-14.7344
174,0.0,,-17.6968
175,0.0,99.0,-17.6968
176,0.0,,-21.6466
177,0.0,96.0,-21.6466
178,0.0,,-15.7219
179,0.0,95.0,-17.6968
180,0.0,,-10.7846
181,0.0,96.0,-14.7344
182,0.0,,-17.6968
183,0.0,97.0,-19.6717
184,0.0,,-13.747
185,0.0,99.0,-14.7344
186,0.0,,-16.7093
187,0.0,99.0,-6.83477
188,0.0,,-13.747
189,0.0,98.0,-3.8724
190,0.0,,-10.7846
191,0.0,95.0,-14.7344
192,0.0,,4.02726
193,0.0,96.0,-10.7846
194,0.0,,-9.79714
195,0.0,97.0,6.00217
196,0.0,,-29.5463
197,0.0,100.0,-26.5839
198,0.0,,-3.8724
199,0.0,101.0,-26.5839
200,0.0,,-27.5714
201,0.0,101.0,-8.80968
202,0.0,,-14.7344
203,0.0,99.0,-25.5965
204,0.0,,-12.7595
205,0.0,96.0,-23.6215
206,0.0,,-0.910027
207,0.0,96.0,-4.85986
208,0.0,,-14.7344
209,0.0,98.0,2.05234
210,0.0,,-9.79714
211,0.0,100.0,-15.7219
212,0.0,,-12.7595
213,0.0,100.0,-6.83477
214,0.0,,-7.82223
215,0.0,102.0,7.97709
216,0.0,,-3.8724
217,0.0,104.0,-12.7595
218,0.0,,0.0774297
219,0.0,103.0,6.00217
220,0.0,,-2.88494
221,0.0,98.0,-2.88494
222,0.0,,15.8767
223,0.0,94.0,-0.910027
224,0.0,,-2.88494
225,0.0,93.0,-2.88494
226,0.0,,2.05234
227,0.0,93.0,-0.910027
228,0.0,,9.952
229,0.0,95.0,5.01471
230,0.0,,14.8893
231,0.0,96.0,14.8893
232,0.0,,15.8767
233,0.0,95.0,19.8266
234,0.0,,16.8642
235,0.0,95.0,8.96454
236,0.0,,22.7889
237,0.0,97.0,20.814
238,0.0,,6.00217
239,0.0,100.0,8.96454
240,0.0,,24.7639
241,0.0,98.0,14.8893
242,0.0,,23.7764
243,0.0,96.0,23.7764
244,0.0,,23.7764
245,0.0,95.0,13.9018
246,0.0,,6.98963
247,0.0,96.0,6.00217
248,0.0,,17.8517
249,0.0,96.0,17.8517
250,0.0,,11.9269
251,0.0,96.0,22.7889
252,0.0,,12.9144
253,0.0,97.0,13.9018
254,0.0,,24.7639
255,0.0,98.0,25.7513
256,0.0,,23.7764
257,0.0,99.0,24.7639
258,0.0,,18.8391
259,0.0,102.0,25.7513
260,0.0,,25.7513
261,0.0,101.0,28.7137
262,0.0,,19.8266
263,0.0,99.0,33.651
264,0.0,,29.7011
265,0.0,99.0,32.6635
266,0.0,,30.6886
267,0.0,99.0,20.814
268,0.0,,24.7639
269,0.0,101.0,35.6259
270,0.0,,30.6886
271,0.0,105.0,21.8015
272,0.0,,30.6886
273,0.0,105.0,31.6761
274,0.0,,27.7262
275,0.0,104.0,33.651
276,0.0,,34.6384
277,0.0,105.0,24.7639
278,0.0,,34.6384
279,0.0,104.0,33.651
280,0.0,,32.6635
281,0.0,102.0,32.6635
282,0.0,,32.6635
283,0.0,100.0,32.6635
284,0.0,,31.6761
285,0.0,101.0,31.6761
286,0.0,,28.7137
287,0.0,101.0,34.6384
288,0.0,,32.6635
289,0.0,101.0,31.6761
290,0.0,,33.651
291,0.0,99.0,33.651
292,0.0,,33.651
293,0.0,97.0,22.7889
294,0.0,,27.7262
295,0.0,96.0,24.7639
296,0.0,,29.7011
297,0.0,95.0,25.7513
298,0.0,,32.6635
299,0.0,96.0,30.6886
300,0.0,,27.7262
301,0.0,98.0,31.6761
302,0.0,,30.6886
303,0.0,103.0,32.6635
304,0.0,,32.6635
305,0.0,105.0,34.6384
306,0.0,,32.6635
307,0.0,104.0,32.6635
308,0.0,,28.7137
309,0.0,101.0,32.6635
310,0.0,,26.7388
311,0.0,96.0,34.6384
312,0.0,,31.6761
313,0.0,95.0,30.6886
314,0.0,,34.6384
315,0.0,96.0,34.6384
316,0.0,,27.7262
317,0.0,96.0,25.7513
318,0.0,,34.6384
319,0.0,94.0,25.7513
320,0.0,,31.6761
321,0.0,91.0,27.7262
322,0.0,,23.7764
323,0.0,89.0,21.8015
324,0.0,,35.6259
325,0.0,88.0,20.814
326,0.0,,27.7262
327,0.0,90.0,19.8266
328,0.0,,33.651
329,0.0,94.0,24.7639
330,0.0,,28.7137
331,0.0,94.0,13.9018
332,0.0,,13.9018
333,0.0,92.0,29.7011
334,0.0,,29.7011
335,0.0,90.0,19.8266
336,0.0,,26.7388
337,0.0,92.0,9.952
338,0.0,,30.6886
339,0.0,94.0,9.952
340,0.0,,12.9144
341,0.0,94.0,19.8266
342,0.0,,24.7639
343,0.0,96.0,22.7889
344,0.0,,25.7513
345,0.0,96.0,26.7388
346,0.0,,22.7889
347,0.0,96.0,25.7513
348,0.0,,24.7639
349,0.0,95.0,25.7513
350,0.0,,25.7513
351,0.0,95.0,24.7639
352,0.0,,20.814
353,0.0,95.0,24.7639
354,0.0,,18.8391
355,0.0,95.0,22.7889
356,0.0,,16.8642
357,0.0,96.0,22.7889
358,0.0,,14.8893
359,0.0,97.0,22.7889
360,0.0,,23.7764
361,0.0,100.0,10.9395
362,0.0,,19.8266
363,0.0,101.0,18.8391
364,0.0,,4.02726
365,0.0,102.0,4.02726
366,0.0,,6.98963
367,0.0,102.0,1.06489
368,0.0,,15.8767
369,0.0,101.0,5.01471
370,0.0,,5.01471
371,0.0,98.0,14.8893
372,0.0,,14.8893
373,0.0,96.0,4.02726
374,0.0,,11.9269
375,0.0,94.0,14.8893
376,0.0,,-3.8724
377,0.0,93.0,7.97709
378,0.0,,-5.84731
379,0.0,94.0,-5.84731
380,0.0,,6.00217
381,0.0,95.0,0.0774297
382,0.0,,-6.83477
383,0.0,94.0,-9.79714
384,0.0,,-10.7846
385,0.0,93.0,-0.910027
386,0.0,,-0.910027
387,0.0,92.0,-12.7595
388,0.0,,-12.7595
389,0.0,91.0,-4.85986
390,0.0,,-16.7093
391,0.0,92.0,6.00217
392,0.0,,20.814
393,0.0,95.0,3.0398
394,0.0,,12.9144
395,0.0,97.0,22.7889
396,0.0,,2.05234
397,0.0,96.0,3.0398
398,0.0,,13.9018
399,0.0,94.0,2.05234
400,0.0,,5.01471
401,0.0,96.0,12.9144
402,0.0,,-6.83477
403,0.0,96.0,13.9018
404,0.0,,6.98963
405,0.0,95.0,-4.85986
406,0.0,,-0.910027
407,0.0,94.0,6.98963
408,0.0,,-12.7595
409,0.0,95.0,1.06489
410,0.0,,-1.89748
411,0.0,91.0,-6.83477
412,0.0,,-5.84731
413,0.0,89.0,-11.7721
414,0.0,,-13.747
415,0.0,88.0,-5.84731
416,0.0,,2.05234
417,0.0,90.0,-5.84731
418,0.0,,-7.82223
419,0.0,92.0,-12.7595
420,0.0,,-9.79714
421,0.0,95.0,-14.7344
422,0.0,,-11.7721
423,0.0,98.0,-15.7219
424,0.0,,-16.7093
425,0.0,100.0,-7.82223
426,0.0,,-21.6466
427,0.0,99.0,-15.7219
428,0.0,,-12.7595
429,0.0,97.0,-22.6341
430,0.0,,-13.747
431,0.0,95.0,-21.6466
432,0.0,,-23.6215
433,0.0,94.0,-23.6215
434,0.0,,-20.6592
435,0.0,94.0,-21.6466
436,0.0,,-25.5965
437,0.0,93.0,-23.6215
438,0.0,,-22.6341
439,0.0,92.0,-22.6341
440,0.0,,-4.85986
441,0.0,90.0,-19.6717
442,0.0,,-12.7595
443,0.0,91.0,-10.7846
444,0.0,,-7.82223
445,0.0,91.0,-12.7595
446,0.0,,-18.6843
447,0.0,91.0,-12.7595
448,0.0,,-20.6592
449,0.0,93.0,-14.7344
450,0.0,,-21.6466
451,0.0,95.0,-21.6466
452,0.0,,-20.6592
453,0.0,95.0,-20.6592
454,0.0,,-21.6466
455,0.0,93.0,-15.7219
456,0.0,,-22.6341
457,0.0,94.0,-17.6968
458,0.0,,-18.6843
459,0.0,98.0,-22.6341
460,0.0,,-23.6215
461,0.0,99.0,-18.6843
462,0.0,,-20.6592
463,0.0,99.0,-18.6843
464,0.0,,-19.6717
465,0.0,97.0,-22.6341
466,0.0,,-21.6466
467,0.0,95.0,-23.6215
468,0.0,,-22.6341
469,0.0,96.0,-18.6843
470,0.0,,-20.6592
471,0.0,98.0,-22.6341
472,0.0,,-21.6466
473,0.0,99.0,-20.6592
474,0.0,,-22.6341
475,0.0,96.0,-20.6592
476,0.0,,-20.6592
477,0.0,94.0,-21.6466
478,0.0,,-21.6466
479,0.0,92.0,-19.6717
480,0.0,,-20.6592
481,0.0,90.0,-20.6592
482,0.0,,-21.6466
483,0.0,88.0,-19.6717
484,0.0,,-20.6592
485,0.0,87.0,-19.6717
486,0.0,,-15.7219
487,0.0,87.0,-14.7344
488,0.0,,-19.6717
489,0.0,89.0,-30.5337
490,0.0,,-26.5839
491,0.0,88.0,-30.5337
492,0.0,,-29.5463
493,0.0,88.0,-28.5588
494,0.0,,-29.5463
495,0.0,87.0,-31.5212
496,0.0,,-29.5463
497,0.0,87.0,-29.5463
498,0.0,,-29.5463
499,0.0,88.0,-28.5588
500,0.0,,-21.6466
501,0.0,89.0,-28.5588
502,0.0,,-26.5839
503,0.0,90.0,-28.5588
504,0.0,,-28.5588
505,0.0,90.0,-29.5463
506,0.0,,-21.6466
507,0.0,91.0,-18.6843
508,0.0,,-27.5714
509,0.0,90.0,-27.5714
510,0.0,,-14.7344
511,0.0,90.0,-28.5588
512,0.0,,-27.5714
513,0.0,89.0,-7.82223
514,0.0,,-26.5839
515,0.0,90.0,-21.6466
516,0.0,,-8.80968
517,0.0,94.0,-23.6215
518,0.0,,-16.7093
519,0.0,95.0,-21.6466
520,0.0,,-24.609
521,0.0,96.0,-10.7846
522,0.0,,-12.7595
523,0.0,96.0,-18.6843
524,0.0,,-15.7219
525,0.0,93.0,1.06489
526,0.0,,-13.747
527,0.0,93.0,-20.6592
528,0.0,,-1.89748
529,0.0,97.0,-10.7846
530,0.0,,-15.7219
531,0.0,101.0,3.0398
532,0.0,,5.01471
533,0.0,102.0,-5.84731
534,0.0,,0.0774297
535,0.0,99.0,-6.83477
536,0.0,,-8.80968
537,0.0,98.0,-3.8724
538,0.0,,-19.6717
539,0.0,98.0,-15.7219
540,0.0,,-15.7219
541,0.0,100.0,-12.7595
542,0.0,,-14.7344
543,0.0,101.0,-4.85986
544,0.0,,-12.7595
545,0.0,102.0,-9.79714
546,0.0,,-0.910027
547,0.0,100.0,-14.7344
548,0.0,,-0.910027
549,0.0,98.0,-1.89748
550,0.0,,-7.82223
551,0.0,95.0,-8.80968
552,0.0,,10.9395
553,0.0,94.0,-1.89748
554,0.0,,3.0398
555,0.0,95.0,13.9018
556,0.0,,-0.910027
557,0.0,95.0,11.9269
558,0.0,,15.8767
559,0.0,94.0,2.05234
560,0.0,,13.9018
561,0.0,95.0,11.9269
562,0.0,,16.8642
563,0.0,98.0,23.7764
564,0.0,,18.8391
565,0.0,99.0,5.01471
566,0.0,,19.8266
567,0.0,100.0,20.814
568,0.0,,3.0398
569,0.0,98.0,21.8015
570,0.0,,23.7764
571,0.0,95.0,23.7764
572,0.0,,22.7889
573,0.0,92.0,22.7889
574,0.0,,23.7764
575,0.0,90.0,25.7513
576,0.0,,24.7639
577,0.0,89.0,24.7639
578,0.0,,25.7513
579,0.0,89.0,27.7262
580,0.0,,10.9395
581,0.0,90.0,26.7388
582,0.0,,29.7011
583,0.0,92.0,21.8015
584,0.0,,19.8266
585,0.0,96.0,32.6635
586,0.0,,1.06489
587,0.0,98.0,13.9018
588,0.0,,13.9018
589,0.0,99.0,17.8517
590,0.0,,17.8517
591,0.0,99.0,4.02726
592,0.0,,6.98963
593,0.0,100.0,25.7513
594,0.0,,25.7513
595,0.0,102.0,13.9018
596,0.0,,21.8015
597,0.0,101.0,18.8391
598,0.0,,28.7137
599,0.0,100.0,20.814
600,0.0,,20.814
601,0.0,95.0,13.9018
602,0.0,,26.7388
603,0.0,91.0,18.8391
604,0.0,,14.8893
605,0.0,90.0,27.7262
606,0.0,,23.7764
607,0.0,91.0,18.8391
608,0.0,,26.7388
609,0.0,90.0,28.7137
610,0.0,,26.7388
611,0.0,90.0,32.6635
612,0.0,,28.7137
613,0.0,89.0,29.7011
614,0.0,,32.6635
615,0.0,93.0,29.7011
616,0.0,,35.6259
617,0.0,98.0,33.651
618,0.0,,34.6384
619,0.0,98.0,33.651
620,0.0,,29.7011
621,0.0,94.0,36.6133
622,0.0,,37.6008
623,0.0,92.0,34.6384
624,0.0,,34.6384
625,0.0,84.0,37.6008
626,0.0,,34.6384
627,0.0,84.0,38.5883
628,0.0,,35.6259
629,0.0,84.0,36.6133
630,0.0,,35.6259
631,0.0,85.0,32.6635
632,0.0,,29.7011
633,0.0,91.0,39.5757
634,0.0,,36.6133
635,0.0,100.0,29.7011
636,0.0,,21.8015
637,0.0,100.0,20.814
638,0.0,,27.7262
639,0.0,101.0,26.7388
640,0.0,,28.7137
641,0.0,102.0,25.7513
642,0.0,,28.7137
643,0.0,103.0,27.7262
644,0.0,,25.7513
645,0.0,103.0,26.7388
646,0.0,,26.7388
647,0.0,103.0,25.7513
648,0.0,,25.7513
649,0.0,103.0,28.7137
650,0.0,,24.7639
651,0.0,104.0,28.7137
652,0.0,,28.7137
653,0.0,103.0,30.6886
654,0.0,,29.7011
655,0.0,104.0,23.7764
656,0.0,,27.7262
657,0.0,104.0,28.7137
658,0.0,,22.7889
659,0.0,102.0,21.8015
660,0.0,,23.7764
661,0.0,100.0,27.7262
662,0.0,,30.6886
663,0.0,97.0,24.7639
664,0.0,,20.814
665,0.0,97.0,23.7764
666,0.0,,23.7764
667,0.0,96.0,18.8391
668,0.0,,22.7889
669,0.0,95.0,25.7513
670,0.0,,17.8517
671,0.0,92.0,16.8642
672,0.0,,20.814
673,0.0,90.0,11.9269
674,0.0,,12.9144
675,0.0,89.0,21.8015
676,0.0,,18.8391
677,0.0,89.0,16.8642
678,0.0,,6.00217
679,0.0,90.0,7.97709
680,0.0,,13.9018
681,0.0,91.0,13.9018
682,0.0,,6.98963
683,0.0,92.0,12.9144
684,0.0,,29.7011
685,0.0,94.0,25.7513
686,0.0,,28.7137
687,0.0,94.0,27.7262
688,0.0,,22.7889
689,0.0,94.0,23.7764
690,0.0,,27.7262
691,0.0,95.0,21.8015
692,0.0,,24.7639
693,0.0,96.0,22.7889
694,0.0,,19.8266
695,0.0,98.0,27.7262
696,0.0,,25.7513
697,0.0,98.0,21.8015
698,0.0,,21.8015
699,0.0,97.0,16.8642
700,0.0,,13.9018
701,0.0,97.0,18.8391
702,0.0,,24.7639
703,0.0,96.0,8.96454
704,0.0,,19.8266
705,0.0,93.0,21.8015
706,0.0,,12.9144
707,0.0,93.0,14.8893
708,0.0,,20.814
709,0.0,95.0,3.0398
710,0.0,,7.97709
711,0.0,96.0,18.8391
712,0.0,,-0.910027
713,0.0,96.0,11.9269
714,0.0,,13.9018
715,0.0,95.0,-2.88494
716,0.0,,5.01471
717,0.0,93.0,10.9395
718,0.0,,-4.85986
719,0.0,91.0,6.98963
720,0.0,,7.97709
721,0.0,91.0,-6.83477
722,0.0,,3.0398
723,0.0,92.0,6.00217
724,0.0,,4.02726
725,0.0,95.0,-12.7595
726,0.0,,-12.7595
727,0.0,95.0,1.06489
728,0.0,,-4.85986
729,0.0,93.0,1.06489
730,0.0,,-16.7093
731,0.0,93.0,-6.83477
732,0.0,,-8.80968
733,0.0,93.0,3.0398
734,0.0,,3.0398
735,0.0,95.0,2.05234
736,0.0,,3.0398
737,0.0,96.0,3.0398
738,0.0,,3.0398
739,0.0,96.0,3.0398
740,0.0,,3.0398
741,0.0,93.0,2.05234
742,0.0,,2.05234
743,0.0,92.0,3.0398
744,0.0,,2.05234
745,0.0,90.0,2.05234
746,0.0,,3.0398
747,0.0,91.0,2.05234
